Prompt Cards,Set
______ is a well-known sign of virility.,Rotten Apples: The Tasteless Adult Party Game
______ is actually pretty hot.,"Crows Adopt Vulgarity, Vol. 2"
______ is basically the story of my life.,The Catholic Card Game: Five Deck Expansion Pack
"______ is by far the most important item in the ""Fresh Out of Boot Camp"" starter pack.",Disgruntled Decks: Navy Edition
______ is considered a compliment in most of Europe.,Cocks Abreast Hostility: Cock Pack One: Just The Tip
______ is covering up the zombification of the population of Kansas.,Conspiracy Theory
______ is Daddy's job.,KinderPerfect: Naughty Expansion Pack
______ is even tastier when it is covered with ______.,The Game Without Decency
______ is finger licking good.,Cakes Athirst Hilarity Volume 2
______ is getting rich smuggling ______.,Conspiracy Theory
______ is going to make me rich!,Not Parent Approved Expansion Pack #2
______ is in the mystery meat.,Cakes Athirst Hilarity Volume 4
______ is just showing off.,Cards Against Profanity
"______ is many things to many people, as you will see and learn.",Crabs Adjust Humidity: Volume 5
______ is merely a puppet of _______.,Conspiracy Theory
______ is my co-pilot.,Carbs of the Huge Manatee: General Expansion 1
______ is my motivation.,Cakes Athirst Hilarity Volume 1
______ is my way of giving back to the community.,Cats Abiding Horribly: Episode I - The Dirty Goblin
______ is no stranger to an AGE Ranger!,Disgruntled Decks: Air Force Edition
______ is no way to go through life. Kid.,Cocks Abreast Hostility - Cock Pack Two: Fowls Deep
______ is not reimbursable.,JadedAid: A Card Game to Save Humanitarians
______ is now the emperor of ______.,The Game Without Decency
______ is our new performance indicator.,JadedAid: A Card Game to Save Humanitarians
"______ is rare. If you find it, keep it.",Cards for the Masses
______ is reporting to Putin right now.,Conspiracy Theory
______ is subverting the natural order with _______.,Conspiracy Theory
______ is the active ingredient in cigarettes.,Cakes Athirst Hilarity Volume 1
______ is the best birth control.,KinderPerfect (Commercial Set)
______ is the best birth control.,KinderPerfect: A Timeout For Parents (Kickstarter Set)
______ is the best indication why Asians are such bad drivers.,Cakes Athirst Hilarity Volume 3
______ is the best thing since ______.,WTF Did You Say?!?
______ is the best way to avoid volunteering for the PTA.,Cards Against Profanity
______ is the gift that keeps on giving.,KinderPerfect: Naughty Expansion Pack
______ is the key to a healthy lifestyle,Not Parent Approved Expansion Pack #2
______ is the key to recovery.,"Humanity Hates the Holidays ""Love"" Edition"
______ is the leading cause for blindness in white males.,Cakes Athirst Hilarity Volume 3
______ is the moment my kid lost their innocence.,KinderPerfect: Tween Expansion Pack
______ is the new ______.,Bards Dispense Profanity
______ is the new ______.,Cards and Punishment Vol. One
______ is the new black according to everyone.,The Game Without Decency
______ is the new spokesperson for ______.,The Game Without Decency
______ is the next development panacea.,JadedAid: A Card Game to Save Humanitarians
______ is the only thing more patriotic than Master Chief Carl Brashear's prosthetic leg.,Disgruntled Decks: Navy Edition
______ is the only thing that gets me out of bed in the morning.,Evil Apples
______ is the secret ingredient in Coca-Cola®.,Not Parent Approved Expansion Pack #1
______ is the secrt ingredient in Grandma's famous pies.,Kids Against Maturity
______ is the tool of ______ to reduce world population.,Conspiracy Theory
______ is totally acceptable. If you're a freak.,Words Against Morality: Volume 1
______ is wasted on the youth.,Cakes Athirst Hilarity Volume 3
______ is way better in ______ mode.,Geek Pack
______ is way better in ______ mode.,PAX East 2014
______ is way too much responsibility for me.,Cads Against Adulting
______ is well-known for professional-looking ______.,The Game Without Decency
______ is what is ruining this country.,Evil Apples
______ is why I am a failure as a parent.,KinderPerfect (Commercial Set)
______ is why I can never run for PTA president.,KinderPerfect: More Expansion Pack
______ is why I have gray hair now.,KinderPerfect: Tween Expansion Pack
______ is why I need feminism.,Cats Abiding Horribly: Episode II - A New Low
______ is why I'm not a chaperon.,KinderPerfect: Tween Expansion Pack
______ is why we can't have nice things.,Cards and Punishment Vol. One
______ is why we can't have nice things.,KinderPerfect (Commercial Set)
______ is worse than ______.,KinderPerfect: Tween Expansion Pack
______ is worse than stepping on a Lego.,KinderPerfect (Commercial Set)
______ is/are the New Evangelization.,The Catholic Card Game: Five Deck Expansion Pack
"______ isn't illegal, right?","Crows Adopt Vulgarity, Vol. 3"
______ keeps me from prayer.,The Catholic Card Game: Base Deck
______ kills about 450 people in the United States a year.,Cards for the Masses
______ kills the mood every time.,KinderPerfect: Naughty Expansion Pack
______ led me to ______.,The Catholic Card Game: Base Deck
______ led me to believe ______ was morally wrong.,The Catholic Card Game: Five Deck Expansion Pack
______ made me rethink my sexual orientation.,Cakes Athirst Hilarity Volume 4
______ made my moneyshot twice as powerful.,Cocks Abreast Hostility: Cock Pack One: Just The Tip
"______ makes ""Insert Name"" scream at the top of his/her lungs.",Personally Incorrect
______ makes a questionable gift for your parents.,WTF Did You Say?!?
______ makes me feel like the most desirable person in the world.,Rotten Apples: The Tasteless Adult Party Game
______ makes me have to shit SO BAD!,Cakes Athirst Hilarity Volume 4
______ makes your PFT score go down faster than a Thai hooker during Cobra Gold!,Disgruntled Decks: Marine Corps/Jarhead Edition
"______ may pass, but ______ will last forever.",CAH: Blue Box Expansion
"______ may pass, but ______ will last forever.",CAH: Fourth Expansion
"______ melts in your mouth, not in your hand.",WTF Did You Say?!?
______ mesmerized the audience by reading a poem about _______.,The Game Without Decency
______ now comes free with a Happy Meal.,Evil Apples
______ now Gluten Free!,Cakes Athirst Hilarity Volume 2
______ Plesurable. But Dangerous.,WTF Did You Say?!?
"______ puts tranquilizers in the canned beer, because of ______.",Conspiracy Theory
______ ran for president on a strong platform of using ______ as a national defense.,The Game Without Decency
______ reminds me of my ex.,"Guards Against Insanity, Edition 3"
______ ruins everything.,The Catholic Card Game: Five Deck Expansion Pack
______ says I don't need to share my ______.,The Game Without Decency
"______ shaped my childhood, making me the person I am today.",Cards and Punishment Vol. One
______ should be a human right.,Cads Against Adulting
______ should be grounds for a national holiday.,Rotten Apples: The Tasteless Adult Party Game
______ should be taught in schools.,Words Against Morality: Volume 3
______ should be taught in schools.,Words Against Morality: Volume 4
______ showed us that ______ is a great homemade hangover remedy.,The Game Without Decency
______ spent their big Vegas winnings on a crazy amount of _____.,The Game Without Decency
______ sponsored by Crystal Meth.,Cakes Athirst Hilarity Volume 4
______ stole my bike!,Voter's Choice: The Fourth Expansion
______ tastes like chicken according to 7 out of 10 albinos.,The Game Without Decency
______ told me to bring ______ to the church picnic.,The Game Without Decency
______ tried to suppress this game!,Conspiracy Theory
______ used ______ to stop the terrorist attack.,The Game Without Decency
______ used the time machine to corner the market on ______.,The Game Without Decency
______ was found with ______ in the church graveyard.,The Game Without Decency
"______ was fun, but then she woke up.","Crows Adopt Vulgarity, Vol. 3"
______ was my old college nickname.,Words Against Morality: Volume 1
______ was notably absent from the stripper convention this year.,Carps & Angsty Manatee - Volume 2
______ was the cause of the Holocaust.,Cakes Athirst Hilarity Volume 1
______ was the reason I got reverted at Camp May.,Disgruntled Decks: Coast Guard/Coastie Edition
______ was totally worth the trauma.,PAX East 2014 - Panel Cards
______ will always get you laid in Toronto,Cards About Toronto
______ will attempt to destroy the Navy. ______ will ensure that threat is defeated.,Disgruntled Decks: Navy Edition
______ will be the downfall of Western Civilization.,Rotten Apples: The Tasteless Adult Party Game
______ will cripple the Marine Corps. ______ will save it.,Disgruntled Decks: Marine Corps/Jarhead Edition
______ will get you a one-way ticket to Poundtown.,Evil Apples
______ will make anyone seem more attractive.,Rotten Apples: The Tasteless Adult Party Game
______ will make you sterile.,Conspiracy Theory
______ will never be the same after ______.,CAH: Blue Box Expansion
______ will never be the same after ______.,CAH: Fourth Expansion
______ will win you the Mom of the Year award every time.,Cads About Maternity - A game for bad mommies
______ with _______ always bring a smile to my face!,The Game Without Decency
______ won the talent show by putting a whole ______ in their mouth.,The Game Without Decency
______ works in mysterious ways.,Cocks Abreast Hostility - Cock Pack Two: Fowls Deep
______ would be woefully incomplete without ______.,CAH : Second Expansion
______ would be woefully incomplete without ______.,CAH Base Set
______ would be woefully incomplete without ______.,CAH: Red Box Expansion
______ would only happen in my worst nightmares.,Cards Against Profanity
______ x ______ = ______,Cakes Athirst Hilarity Volume 2
_______ - the incredible new documentary series narrated by David Attengborough.,Pigs Against Profanity: Volume 3
"_______ guaranteed, or your money back!",Bards Dispense Profanity
_______ only hurts the first time around,Pigs Against Profanity: Volume 2
_______ really ruined PrideFest for me this year.,The Worst Card Game: Colorado Edition
_______ The root cause of aids,Pigs Against Profanity: Volume 2
________ + ________ makes me extra horny.,Skewered And Roasted
________ doesn’t count as cheating.,Cads About Matrimony Poly Pack
________ helps me achieve inner peace.,Skewered And Roasted
________ is the best part of the newlywed stage.,Cads About Matrimony Poly Pack
________ is the best part of the newlywed stage.,Cads About Matrimony: Expansion 1
________ keeps me awake at night.,Skewered And Roasted
________ makes for good foreplay!,Skewered And Roasted
________ makes my mouth water!,Skewered And Roasted
________ tends to run in my family.,Skewered And Roasted
________ turns me on!,Skewered And Roasted
_________ - it's gonna be huge!,Humanity Hates Trump: Base Set
_________ baby _________ (repeat)!,"Bad Campaign, The Presidential Party Game!"
_________ for a more hopeful America.,"Bad Campaign, The Presidential Party Game!"
_________ for American families.,"Bad Campaign, The Presidential Party Game!"
_________ gives me the chills.,Not Parent Approved
_________ hit me right in the feels.,Charlie Foxtrot
_________ improves over time.,Not Parent Approved
_________ is all I need to make the tough decisions.,"Bad Campaign, The Presidential Party Game!"
_________ is better than summer vacation.,Not Parent Approved
_________ is Hillary's Watergate.,"Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too"
_________ is in bed with Wall Street., 2016 Election Game 
_________ is my fave emoticon.,Not Parent Approved
_________ is my secret favorite thing to do when no one is looking.,Not Parent Approved
_________ is my true passion in life.,"Bad Campaign, The Presidential Party Game!"
_________ is so awkward at a sleepover.,Not Parent Approved
"_________ is the law of the land, deal with it.","Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too"
_________ is the one thing that would drive me crazy enough to push the button.,"Bad Campaign, The Presidential Party Game!"
_________ is the real reason Trump declared bankruptcy 4 times.,Humanity Hates Trump: Base Set
_________ is the real reason Trump declared bankruptcy 4 times.,Humanity Hates Trump: Expansion Pack 1
_________ is the reason for my pass request.,Charlie Foxtrot
_________ is the reason we constantly have safety briefs.,Charlie Foxtrot
_________ is the secret to world peace.,Not Parent Approved
_________ is the subject of Bill Clinton's new book.,"Bad Campaign, The Presidential Party Game!"
_________ is what Basic Training is all about.,Charlie Foxtrot
_________ is what haunts my dreams at night!,"Bad Campaign, The Presidential Party Game!"
_________ is/are like roaches - you can't kill them,Humanity Hates Trump: Expansion Pack 1
_________ is/are not the same thing by any stretch of the imagination as (a) _________.,Humanity Hates Trump: Base Set
_________ is/are Trump's greatest secret to great hair.,Humanity Hates Trump: Base Set
_________ killed my pet goldfish.,Not Parent Approved
_________ led me to receive an Article 15.,Charlie Foxtrot
_________ makes me have nightmares.,Not Parent Approved
_________ should be the start of the conversation on how we can improve as a society.,"Bad Campaign, The Presidential Party Game!"
_________ this weekend is going to really piss off Sarge.,Charlie Foxtrot
_________ was my nickname at Yale.,"Bad Campaign, The Presidential Party Game!"
_________ was the strangest thing I've seen in the US military.,Charlie Foxtrot
_________ will cause a blistering argument with Vladimir Putin.,"Bad Campaign, The Presidential Party Game!"
_________ won my vote., 2016 Election Game 
_________ would really make the world a better place.,Not Parent Approved
____________ doesn’t count as cheating.,Cads About Matrimony
_______________ of Unusual Size? I don't believe in them.,Carbs of the Huge Manatee: General Expansion 3
________________? Jim’ll fix it!,CAH: UK Conversion Kit
_______________. Is THAT what they're calling it these days…,Carbs of the Huge Manatee: General Expansion 2
"_______________. It's no oxycontin, but it will get you through the morning.",Carbs of the Huge Manatee: General Expansion 2
_______________. It's not just for breakfast any more.,Carbs of the Huge Manatee: General Expansion 2
______________. That’s why mums go to Iceland.,CAH: UK Conversion Kit
"_____________. Once you pop, the fun don’t stop!",CAH: UK Conversion Kit
____________. A sure-fire cure for the seven-year itch.,Cads About Matrimony
___________. A wedding gift you’ll cherish forever.,Cads About Matrimony
__________: grounds for divorce in all 50 states.,Cads About Matrimony
"__________. It's not just a good idea, it's the law.",Humanity Hates Trump: Expansion Pack 1
_________-flavored ice cream.,Not Parent Approved
"_________, it's gonna be YUGE.", 2016 Election Game 
"_________, you're fired.", 2016 Election Game 
_________: A Holiday Tradition,Humanity Hates The Holidays
_________: Sadly no longer a 10., 2016 Election Game 
_________: The truth about Benghazi.,Charlie Foxtrot
_________., 2016 Election Game 
_________. It's finger lickin' good!,Charlie Foxtrot
_________. Just abort it., 2016 Election Game 
_________. Never again!,Not Parent Approved
_________. The solution for women.,Humanity Hates Trump: Expansion Pack 1
_________. These things happen., 2016 Election Game 
_________.com is the new name for JebBush.com.,Humanity Hates Trump: Base Set
_________(s) should never be allowed in America.,Humanity Hates Trump: Expansion Pack 1
________-the best way to _______,Pigs Against Profanity: Volume 2
________: grounds for divorce in all 50 states.,Cads About Matrimony Poly Pack
________. A sure-fire cure for the seven year itch.,Cads About Matrimony Poly Pack
________. A wedding gift you’ll cherish forever.,Cads About Matrimony Poly Pack
________. My Spirit Animal.,Cows Grilling Hamburgers - Patty Pack #1
_______-the best way to offend a feminist,Pigs Against Profanity: Volume 2
_______-the only way to solve Brexit,Pigs Against Profanity: Volume 2
_______-the UK`s most common cause of unauthorised absence from work,Pigs Against Profanity: Volume 2
"_______, a failure of the S.U.N.Y. education system.",Blurbs Against Buffalo
_______: about as useful as a one-legged man in an ass kicking contest.,Disgruntled Decks: Army Edition
_______. Awesome!,Babies vs. Parents
"______,  For the person who has everything.","Guards Against Insanity, Edition 2"
"______, a near occasion of sin.",The Catholic Card Game: Base Deck
"______, I can yarn bomb that.",Knitters Against Swatches Second Edition
"______, I choose you!",Crabs Adjust Humidity: Volume 7
"______, it's even worse that a poopy diaper!",Fun in the Oven
"______, it's what Elizabeth Zimmerman would do.",Knitters Against Swatches Second Edition
"______, it's what happens at SNB.",Knitters Against Swatches First Edition
"______, just for a second.  Just to see how it feels.",Crabs Adjust Humidity: Volume 3
"______, or as I like to call it, ______.",Cocks Abreast Hostility: Cock Pack One: Just The Tip
"______, that's why I got married.",Carbs of the Huge Manatee: General Expansion 1
"______, the newest My Little Pony character.",Voter's Choice: The Second Expansion
"______, the number one reason for staying chaste.",The Catholic Card Game: Base Deck
"______, there's a cream for that.",Fun in the Oven
"______, yeah right.",Kiwis Versus Morality
"______, you da real MVP.",Crabs Adjust Humidity: Volume 4
______:  A solution in search of a problem.,Carbs of the Huge Manatee: General Expansion 1
______: A surprising favorite at the Houston Rodeo this year.,Carps & Angsty Manatee - Texas Edition
______: Achievement unlocked.,Geek Pack
______: Achievement unlocked.,PAX Prime 2013
______: Ain't nobody got time for that!,Crabs Adjust Humidity: Volume 3
______: American's favorite Broadway musical,Cakes Athirst Hilarity Volume 4
______: an important prenatal yoga practice.,Cads About Maternity - A game for bad mommies
______: Best when a little bit sweaty.,Rotten Apples: The Tasteless Adult Party Game
"______: boil 'em, mash 'em, stick 'em in a stew!",Crabs Adjust Humidity: Volume 4
"______: Boil 'em, mash 'em, stick 'em in a stew.",Words Against Morality: Volume 4
______: Brought to you by ______.,CAH: Green Box Expansion
______: Evidence that this is the darkest timeline.,Crabs Adjust Humidity: Volume 5
______: fun for the whole family!,Evil Apples
______: good to the last drop.,CAH Base Set
______: good to the last drop.,"PAX 2010 ""Oops"" Kit"
______: Has science gone too far?,"Crows Adopt Vulgarity, Vol. 1"
______: Hours of fun. Easy to use. Perfect for ______!,CAH: Red Box Expansion
______: Hours of fun. Easy to use. Perfect for ______!,CAH: Third Expansion
______: I volunteer as tribute!,Crabs Adjust Humidity: Volume 3
______: It even makes its own gravy!,Crabs Adjust Humidity: Volume 5
"______: it just keeps going, and going, and going…",Cards Against Profanity
______: it's magically delicious.,Crabs Adjust Humidity: Volume 2
______: it's more likely than you think.,Cads Against Adulting
______: It's not just for breakfast anymore.,The Game Without Decency
______: it's what Academy grads do best!,Disgruntled Decks: Navy Edition
______: Just another way that God shows us he loves us.,Crabs Adjust Humidity: Volume 4
______: Just girly things.,Crabs Adjust Humidity: Volume 4
______: Just sayin'.,Crabs Adjust Humidity: Volume 1
______: Keep out of reach of children.,Cards Against Profanity
"______: kid tested, mother approved.",CAH Base Set
"______: kid-tested, mother-approved.",CAH Base Set
______: Man's final frontier.,"Guards Against Insanity, Edition 4"
"______: melts in my mouth, not in my hands.",Cocks Abreast Hostility - Cock Pack Two: Fowls Deep
______: My body is ready.,Crabs Adjust Humidity: Volume 5
______: not even once.,Crabs Adjust Humidity: Volume 1
______: Not just for kids anymore!,Cocks Abreast Hostility: Cock Pack One: Just The Tip
"______: not only, like, super gross? But like, from a feminist standpoint? Totallyproblematic.",Crabs Adjust Humidity: Volume 6
"______: Once you pop, the fun don't stop!",CAH Base Set
______: Provided by the management for your protection.,Crabs Adjust Humidity: Volume 3
______: The best part of waking up.,Babies vs. Parents
______: The Best! Day! Ever!,Cakes Athirst Hilarity Volume 4
______: the hit Catholic musical.,The Catholic Card Game: Base Deck
______: the national sport of Africa.,Cocks Abreast Hostility: Cock Pack One: Just The Tip
______: the new and improved way to compel compliance.,Disgruntled Decks: Coast Guard/Coastie Edition
______: the secret weapon of the E-3 Mafia.,Disgruntled Decks: Coast Guard/Coastie Edition
______: The struggle is real.,Crabs Adjust Humidity: Volume 5
______: Wake up sheeple!,Crabs Adjust Humidity: Volume 5
______: Weak and ineffective.,Trumped UpCards: The World's Biggest Deck*
______: Your ideas are intriguing to me and I wish to subscribe to your newsletter.,Crabs Adjust Humidity: Volume 3
______! the SecAF exclaimed ass he shape-shifted into a lizard person and scurried through the Pentagon.,Disgruntled Decks: Air Force Edition
______!? NOT TODAY!,Voter's Choice: The Third Expansion
"______?

That's what she said.",Crabs Adjust Humidity: Volume 2
______? Even I wouldn't go there.,Rotten Apples: The Tasteless Adult Party Game
______? Jim'll fix it!,CAH Base Set
______? Oh yeah. There's porn about that.,Evil Apples
"______? Really?! Holy Shit, Russia!",Cakes Athirst Hilarity Volume 4
______? Thanks Obama.,Crabs Adjust Humidity: Volume 6
______? That's a dealbreaker.,Rotten Apples: The Tasteless Adult Party Game
"______? That's a no from me, dawg.",CAH: 2000s Nostalgia Pack
______? There's an app for that!,Cards About Toronto
______? There's an app for that.,CAH Base Set
______? Totally overrated.,Rotten Apples: The Tasteless Adult Party Game
______? What a wonderful idea!,"Crows Adopt Vulgarity, Vol. 2"
"______? Yeah, nah.",CAH Base Set
"______.  60% of the time, it works every time.","Guards Against Insanity, Edition 2"
______.  Because prevention is better than cure.,"Guards Against Insanity, Edition 3"
______.  Because size matters.,"Guards Against Insanity, Edition 2"
______.  It's what your right arm's for.,"Guards Against Insanity, Edition 2"
______.  Man's best friend.,"Guards Against Insanity, Edition 3"
______.  Nature's birth control.,"Guards Against Insanity, Edition 3"
______.  What's not to like?,"Guards Against Insanity, Edition 3"
______. — You go Girl!,Cakes Athirst Hilarity Volume 3
______. #squadgoals,Words Against Morality: Volume 1
______. #whitepeopleproblems,Words Against Morality: Volume 1
______. A metaphor for life.,Cards for the Masses
"______. Awesome in theory, kind of a mess in practice.",CAH Base Set
"______. Awesome in theory, kind of a mess in practice.",CAH: Red Box Expansion
"______. Awesome in theory, kind of a mess in practice.",CAH: Third Expansion
______. Betcha can't have just one!,CAH Base Set
"______. GODDAMN IT, JAPAN!","Crows Adopt Vulgarity, Vol. 2"
"______. High five, bro.",CAH Base Set
______. I dare you…,"Crows Adopt Vulgarity, Vol. 2"
______. Is my way of giving back to the community.,Cats Abiding Horribly: Episode I - The Dirty Goblin
______. Is that some kind of euphemism?,"Guards Against Insanity, Edition 4"
______. is what I love most about my body.,Voter's Choice: The First Expansion
______. It just tastes better.,"Guards Against Insanity, Edition 3"
______. It's a trap!,CAH Base Set
______. It's what's for dinner.,Cards and Punishment Vol. Two
______. Just another reason why you can't trust adults.,"Guards Against Insanity, Edition 4"
______. MILLIONS ARE DEAD!,"Crows Adopt Vulgarity, Vol. 4"
______. No homo.,Words Against Morality: Volume 4
______. Now 100% Gluten Free!,WTF Did You Say?!?
______. Part of a balanced breakfast.,Voter's Choice: The First Expansion
______. Sounds like something Cartman would like.,Words Against Morality: Volume 1
"______. Strong enough for a man, meant for a woman.",Cards for the Masses
"______. Tastes awful, but it works!",Cards for the Masses
______. That is my life goal.,Cards Against Profanity
______. That was so metal.,CAH Base Set
______. That's a deal breaker.,Voter's Choice: The First Expansion
______. That's an HR incident.,"Guards Against Insanity, Edition 4"
______. That's how I met your mother.,"Crows Adopt Vulgarity, Vol. 4"
______. That's how I want to die.,CAH Base Set
______. That's why mums go to Iceland.,CAH Base Set
______. The best way to spice up your sex life.,Words Against Morality: Volume 2
______. The first time is never the best.,"Guards Against Insanity, Edition 4"
______. There were no survivors.,"Crows Adopt Vulgarity, Vol. 4"
______. There's a fetish for that.,Voter's Choice: The First Expansion
______. This is the one thing we didn't want to happen.,"Guards Against Insanity, Edition 4"
______. What's the worst that can happen?,"Guards Against Insanity, Edition 5"
"______. Yeah, I'll blame that on the dog.",Words Against Morality: Volume 1
______'s biggest guilty pleasure is to curl up in bed with ______.,The Game Without Decency
______is all the same to me.,Cards Against Profanity
"______is/are known to make ""Insert Name"" extra horny.",Personally Incorrect
_____: Evidence that this is the darkest timeline.,Crazy & Horrible Rabbit - Vol. 1
_____: It even makes it's own gravy!,Crazy & Horrible Rabbit - Vol. 1
_____: My body is ready.,Crazy & Horrible Rabbit - Vol. 1
_____: the best thing since slices bread.,Clones Attack Hilarity #2
_____: The struggle is real.,Crazy & Horrible Rabbit - Vol. 1
_____: Wake up sheeple!,Crazy & Horrible Rabbit - Vol. 1
_____! All alone in the moonlight!,Theatre Pack - CATS Musical Pack
_____?  I thought you meant _____!  That explains why everyone is staring.,"Clams Attempt Harmonica, Volume 1"
_____?  I'd rather have _____.,"Clams Attempt Harmonica, Volume 1"
_____? Looks like them Duke Boys are at it again.,"Clams Attempt Harmonica, Volume 1"
_____? Title of your sex tape.,"Clams Attempt Harmonica, Volume 1"
_____. A woman's best friend.,Cows Against Hamburgers - Patty Pack #1
