Response Cards,Set
"$10,000 worth of silica gel.",Desert Bus For Hope Pack
$13 worth of Taco Bell,The Game Without Decency
$15 minimum wage., 2016 Election Game 
"$16,000 in cash, a kilo of hashish, and eight belly dancers.",Cads About Matrimony Poly Pack
$2 beer pitcher night at the base bowling alley.,Charlie Foxtrot
$20 Tinnies,Kiwis Against Morality
$20 tinnies,Kiwis Versus Morality
"$20,000 trip from Honduras to Texas hiding in the back of the troka.",Bad Hombres Against Fake News Pack 1
$200/hour,Skewered And Roasted
$300 worth of vanilla yogurt.,WTF Did You Say?!?
$68 in pennies.,Cakes Athirst Hilarity Volume 4
1 weird trick that will make everyone around you ejaculate,Evil Apples
1.2 pounds of shit hitting a fan.,"Crows Adopt Vulgarity, Vol. 1"
10 bucks,Kiwis Against Morality
10 bucks,Kiwis Versus Morality
10 feet of snow in 2 days.,Blurbs Against Buffalo
10 football players with erections barrelling towards you at full speed.,CAH: Green Box Expansion
10 Incredible Facts About the Anus.,CAH: Blue Box Expansion
10 Incredible Facts About the Anus.,CAH: Fourth Expansion
10 minute sof decent sex.,Cads Against Adulting
10 pounds of crap in a 5-pound bag,The Game Without Decency
"10,000 shrieking teenage girls.",CAH: Green Box Expansion
"10,000 Syrian refugees.",CAH Base Set
"10,800 barrels of beer",Dick
100 beachfront acres of shimmering white privilege.,Trumped UpCards: The World's Biggest Deck*
100 foreskins in a bucket,JadedAid: A Card Game to Save Humanitarians
100 percent Chinese ties.,Trumped UpCards: The World's Biggest Deck*
100 pounds of bull semen,The Game Without Decency
100 tons of Mafia concrete.,Trumped UpCards: The World's Biggest Deck*
100 wheelchair-bound children rolling around in the back of a C-5.,Disgruntled Decks: Air Force Edition
"100,000 dollars, alcohol, and 4 weeks of vacation.",Voter's Choice: The Third Expansion
100% accurate gaydar.,WTF Did You Say?!?
100% All-Beef Thermometer.,"Humanity Hates the Holidays ""Love"" Edition"
100% certified human breast milk.,PAX Prime 2014 Custom Printed Cards
100% hearthfelt compassion.,Hilarious!
100% Pure New Zealand.,CAH Base Set
12-hour Netflix marathons,Cards Against Profanity
"12,000 ants.",Voter's Choice: The Fourth Expansion
"144,000 lbs. of cheese",Dick
15 wild badgers living in my trousers.,Carbs of the Huge Manatee: General Expansion 3
16 years of service and my pay still sucks.,Charlie Foxtrot
172 thumbtacks,The Game Without Decency
18 books on how to fail as a parent,Cads About Maternity - A game for bad mommies
1am drink requests,KinderPerfect (Commercial Set)
1st Degree Murder,Personally Incorrect
1st grade social calendars,KinderPerfect (Commercial Set)
1st place in the talent show,Cards Against Profanity
1st Sgt's second ex-wife.,Disgruntled Decks: Marine Corps/Jarhead Edition
2 girls 1 cockroach,Pigs Against Profanity: Volume 1
2 Girls 1 Cup.,CAH Base Set
2.5 kids.,Babies vs. Parents
2% Milk,Cows Grilling Hamburgers - Patty Pack #1
20 fuckin whacks…,Kiwis Against Morality
20 fuckin whacks…,Kiwis Versus Morality
20 pieces of sweet Chicken McNugget goodness.,Clones Attack Hilarity #1
20 years of paid maternity leave,Cads About Maternity - A game for bad mommies
"20,000 Leagues Under the Sea™",Kids Against Maturity
200 lusty seamen on shore for just one night,Evil Apples
200 years of slavery.,2014 Holiday Pack
20g of street tik,Cards Against/For South Africa
20g of Street tik.,Hilarious!
23-star Sheriff David Clarke.,Trumped UpCards: Many Sides  Expansion Pack
24-hour media coverage.,CAH: First Expansion
24-hour media coverage.,CAH: Red Box Expansion
25 shitty jokes about House of Cards.,House of Cards Pack
27 tonnes of 1080 pellets,Kiwis Against Morality
27 tonnets of 1080 pellets,Kiwis Versus Morality
2nd child issues,KinderPerfect: A Timeout For Parents (Kickstarter Set)
3 Dimensional spatial awarness.,Hilarious!
3 egg omelettes.,Hilarious!
3 positive pregnancy tests and still not convinced,KinderPerfect (Commercial Set)
3 veiny Triumphant black dicksTongue punching Donald Trump`s turd tunnel,Pigs Against Profanity: Volume 2
3.7 billion women.,Crabs Adjust Humidity: Volume 6
3.7 billion years of evolution.,Science Pack
3.9 billion years of evolution.,Cakes Athirst Hilarity Volume 1
"3/4th ounce of bitters, another 3/4th ounce of bitters, yet another 3/4th ounce of bitters, 3 ounces of orange bitters, 3 ounces of gin in a tall glass over ice. Garnish with an orange slice and tears.",Carbs of the Huge Manatee: General Expansion 3
30 grown adults crawling around on all-fours.,Theatre Pack - CATS Musical Pack
30 shirtless bears emerging from the fog.,Pride Pack
"300 days of sunshine, 365 days of white people.",The Worst Card Game: Colorado Edition
33 year old grandmothers in West Auckland,Kiwis Versus Morality
38-Double Ds,Personally Incorrect
380 grams of heroin.,"Crows Adopt Vulgarity, Vol. 4"
39 frozen Vietnamese immigrants.,Pigs Against Profanity: Volume 3
3d Cavalry Regiment's drivers training program.,Disgruntled Decks: Army Edition
3D printed sex toys.,Clones Attack Hilarity #1
4 wraps of heroin,Pigs Against Profanity: Volume 1
40 acres and a mule.,CAH: Blue Box Expansion
40 acres and a mule.,CAH: Fifth Expansion
400 years of colonial atrocities.,CAH Base Set
400 years of colonial atrocities.,CAH: UK Conversion Kit
41 million Americans living in poverty.,Gen Con 2018 Midterm Election Pack
42 Happy Meal toys,The Game Without Decency
48 hour labor,KinderPerfect (Commercial Set)
48 hour labor,KinderPerfect: A Timeout For Parents (Kickstarter Set)
5 de Mayo celebrations.,Bad Hombres Against Fake News Pack 1
50 bullets dipped in pig's blood.,Trumped UpCards: The World's Biggest Deck*
50 dollars' worth of cereal.,Cads Against Adulting
50 mg of Zoloft daily.,CAH Base Set
50 Shades of Haze Gray.,Disgruntled Decks: Navy Edition
50 Shades of Off-White.,Carbs of the Huge Manatee - Kink Expansion 1
50 skeins of acrylic yarn.,Knitters Against Swatches First Edition
"50,000 volts straight to the nipples.",CAH Base Set
500 hours of court-ordered community service.,Hilarious!
500 sporks,The Game Without Decency
6 year old with a smartphone,KinderPerfect (Commercial Set)
6-inch heels,The Game Without Decency
63 new messages saying either “Hay” or “Wanna fuck?”,Carbs of the Huge Manatee - Online Dating Expansion 1
64 slices of American cheese.,Cads Against Adulting
69ing,Personally Incorrect
69ing a dirty vagina.,Cakes Athirst Hilarity Volume 2
69ing at the bottom of a Burger King ball pit,Evil Apples
7 Blows with a crowbar on the uppper lip.,Hilarious!
"7 shoes, no pairs",KinderPerfect (Commercial Set)
70 Year Old Prostitute(s),Personally Incorrect - Expansion [Red Box]
70-year-olds who are in better shape than me,Cards Against Profanity
"70,000 gamers sweating and farting inside an airtight steel dome.",PAX Prime 2013
70's bush.,"Guards Against Insanity, Edition 4"
70's porn complete with a hairy bush.,WTF Did You Say?!?
72 virgins and 1 mission.,WTF Did You Say?!?
"72 Virgins, all of whom are babies.","Crows Adopt Vulgarity, Vol. 4"
72 virgins.,CAH Base Set
72 virgins.,Humanity Hates Trump: Base Set
8 oz. of sweet Mexican black-tar heroin.,CAH Base Set
"8-year olds, dude.",Cards and Punishment Vol. Two
"8,000 baby blankets",Cads About Maternity - A game for bad mommies
8=======D,Cocks Abreast Hostility: Cock Pack One: Just The Tip
8th Grade and Pregnant.,"Humanity Hates the Holidays ""Love"" Edition"
9 inch dildo,Dirty Nasty Filthy
9/11 was an inside job.,WTF Did You Say?!?
9/11: Forgive and forget.,The Worst Card Game: 2016 National Edition
9/11.,Cakes Athirst Hilarity Volume 2
93-year-old virgin voters.,Trumped UpCards: The World's Biggest Deck*
939 Million 3000 and 60000 members,Cards Against/For South Africa
939 million 3000 and 60000 members,Hilarious!
99 bottles of beer,The Game Without Decency
"A .50 cal round tearing through 3 torsos, 2 heads, and a hotdog cart.",Disgruntled Decks: Army Edition
"A ""Get Well Soon!"" balloon from Paul Ryan.",Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack
"A ""Happy Valentine's Day"" Card from AshleyMadison.com.","Humanity Hates the Holidays ""Love"" Edition"
"A ""hardly noticeable"" herpes sore",The Game Without Decency
"A ""high speed"" specialist saving the 237th Sapper Co. from a disastrous mixture of live rounds and blanks.",Disgruntled Decks: Army Edition
"A ""not stolen"" Holden Commodore",Kiwis Versus Morality
"A ""personal massager""",The Game Without Decency
"A ""Proud Parent of Cannon Fodder"" bumper sticker.",Disgruntled Decks: Marine Corps/Jarhead Edition
"A ""Trump Teens Pedicure Sundae.""",Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack
"A ""World's Biggest Asshole"" trophy",The Game Without Decency
A “boudoir-style” photoshoot that turns into something else.,Carbs of the Huge Manatee - Kink Expansion 1
A “business trip.”,Cads About Matrimony
A “business trip.”,Cads About Matrimony Poly Pack
"A $1,000 check from Cards Against Humanity!",Cards Against Humanity Saves America Pack
a $100 plaid shirt,Skewered And Roasted
A $19.99 do it yourself wedding,Cards for the Masses
"A $2,000 enlistment bonus that definitely wasn't worth it.",Disgruntled Decks: Army Edition
A $20 bill with Harriet Tubman's face on it.,"Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too"
A $300 banana suit.,Carps & Angsty Manatee - Volume 1
A $50 cup of coffee literally made from cat shit.,Crabs Adjust Humidity: Volume 1
"A $90 million, full-size replica of Noah's Ark.",Cols Against Kentucky 2
A 0.7 waist-to-hip ratio.,Science Pack
A 10 pount jar of ointment.,Clones Attack Hilarity #1
A 10-minute shit on company time.,"Crows Adopt Vulgarity, Vol. 4"
A 100-pound teenager who thinks she's fat.,Cards With No Sexuality
A 103° fever.,Fun in the Oven
"A 12 inch dick, a dozen roses, and a pick-up truck","Clams Attempt Harmonica, Volume 1"
A 12 pack of Cody's,Kiwis Against Morality
A 12 pack of Cody's,Kiwis Versus Morality
a 12 year old,Skewered And Roasted
A 12-foot scepter of bone.,Absurd Box Expansion
"A 15 minute blowjob… No more, no less.",WTF Did You Say?!?
"A 15-6 investigating the pathetic, plodding death of your career.",Disgruntled Decks: Army Edition
A 15-minute time-out in the Naughty Corner.,"Crows Adopt Vulgarity, Vol. 1"
A 15-yard penalty for excessive sue of the First Amendment.,Trumped UpCards: Many Sides  Expansion Pack
A 15cm long dick.,Hilarious!
A 1970's bush.,Cows Grilling Hamburgers - Patty Pack #1
A 1987 Ford Fiesta,The Game Without Decency
A 2 EPR that was truly deserved.,Disgruntled Decks: Air Force Edition
A 20 piece chicken nugget meal for one person,Cards for the Masses
A 20+ year age gap between you and your partner.,Carbs of the Huge Manatee - Kink Expansion 1
a 24 percent equity stake in reality.,Trumped UpCards: The World's Biggest Deck*
A 28 week abortion.,"Guards Against Insanity, Edition 1"
a 3 hour boner,Skewered And Roasted
A 3-1/2 pound shit baby.,Crabs Adjust Humidity: Volume 6
A 3-foot tapeworm,The Game Without Decency
A 3-hour SECRET flight brief for a 45-minute flight. #WasteMyFuckingTime,Disgruntled Decks: Navy Edition
A 3-year-old nudist,KinderPerfect (Commercial Set)
A 30 thousand dollar millionaire.,Carps & Angsty Manatee - Texas Edition
"A 300 horsepower, turbo charged vibrator.",WTF Did You Say?!?
A 300-lb dresses as Princess Leia,The Game Without Decency
A 34-hour SAR mission.,Disgruntled Decks: Coast Guard/Coastie Edition
A 4 lb. turd log splash that causes blue shitter water to coat your ass cheeks.,Disgruntled Decks: Marine Corps/Jarhead Edition
A 40 year old scotch and a 10 year old girl,"Clams Attempt Harmonica, Volume 1"
a 40 year old virgin,Skewered And Roasted
A 45 percent tariff on free speech.,Trumped UpCards: The World's Biggest Deck*
A 48-year-old specialist who enlisted under mysterious circumstances.,Disgruntled Decks: Army Edition
A 5 lb. bag of gummy bears.,Crabs Adjust Humidity: Volume 2
A 5-gallon bucket of used condoms.,Crabs Adjust Humidity: Volume 7
A 5-speed shower nozzle,The Game Without Decency
a 50 cent mix from the dairy,Kiwis Versus Morality
A 50 Shades of Grey sex party.,Clones Attack Hilarity #2
A 50% divorce rate.,Cads About Matrimony
A 50% divorce rate.,Cads About Matrimony Poly Pack
A 55-gallon drum of lube.,CAH : Second Expansion
A 55-gallon drum of lube.,CAH: Red Box Expansion
A 6-hour conversation on gender and queer theory.,Pride Pack
a 6-pack,Skewered And Roasted
A 6-pack of Red Bull,The Game Without Decency
A 7-Eleven clerk coming off a three-day shift,The Game Without Decency
A 7-year-old pageant contestant,The Game Without Decency
A 70 y/o woman wearing a neon Stephen West shawl.,Knitters Against Swatches First Edition
A 70-year-old gut truck driver exchanging snacks for hand jobs.,Disgruntled Decks: Army Edition
A 70s porn star bush,Depravity
A 8-foot-tall walking carpet.,Words Against Morality: Volume 3
A 9 ft tall sergeant major with titanium robot legs.,Disgruntled Decks: Army Edition
A 9-month denial period,KinderPerfect: Naughty Expansion Pack
A 9/11 truther.,Cats Abiding Horribly: Episode II - A New Low
A 98-year-old WWII Vet who still hates the Japanese.,Disgruntled Decks: Marine Corps/Jarhead Edition
A absurd build up of smegma under the foreskin,Pigs Against Profanity: Volume 1
A awkward family dinner.,Carps & Angsty Manatee - Volume 2
A babbling idiot.,Cats Abiding Horribly: Episode III - The SJWs Strike Back
A babe in the woods,Rotten Apples: The Tasteless Adult Party Game
a baboon's blood,Bards Dispense Profanity
A baby bath shaped like a uterus,Cads About Maternity - A game for bad mommies
A Baby Bjorn.,Fun in the Oven
A baby carrier.,Babies vs. Parents
A baby daddy.,Cats Abiding Horribly: Episode II - A New Low
"A baby dressed as the Pope,",The Catholic Card Game: Base Deck
A baby in a weiner costume,Cads About Maternity - A game for bad mommies
A baby orangutan,Cads About Maternity - A game for bad mommies
A baby panda that just can't keep its eyes open.,Cards Against Humanity Saves America Pack
A baby pigeon.,Cows Against Hamburgers - Patty Pack #1
A baby pigeon.,Cows Grilling Hamburgers - Patty Pack #1
A baby registry filled with nothing but elaborate bongs,Cads About Maternity - A game for bad mommies
A baby seat for your motorcycle,Cads About Maternity - A game for bad mommies
A baby sling made out of martini glasses,Cads About Maternity - A game for bad mommies
A baby that smokes and plays the ukulele,Cads About Maternity - A game for bad mommies
A baby.,Babies vs. Parents
A baby's soiled diapers,The Game Without Decency
A Bach with an empty beer fridge,Kiwis Against Morality
A bach with an empty beer fridge,Kiwis Versus Morality
A bachelor's degeree in communications.,CAH: College Pack
A bachelor's degree in communication.,Crabs Adjust Humidity: Volume 2
A bachelorette party blackout love child,Cads About Maternity - A game for bad mommies
A back alley blow job,Depravity
A back alley C-section,Cads About Maternity - A game for bad mommies
A back-alley abortion from a Mexican cyborg doctor.,Trump Bug Out Bag/Post-Trump Pack
"A back, sack and crack wax",Depravity
a backdoor slider,Skewered And Roasted
A backside grind,Rotten Apples: The Tasteless Adult Party Game
a backstabbing cockblocker,Skewered And Roasted
A backstreet abortion with a coat hanger and a cooking whisk,Depravity
A bacon cheeseburger.,Words Against Morality: Volume 4
A bad blood-to-stool ratio,JadedAid: A Card Game to Save Humanitarians
a bad boob job,Skewered And Roasted
a bad boy who needs a good spanking,Evil Apples
a bad boy who peed all over the house,Evil Apples
A bad hair day.,Not Parent Approved
A bad report card.,Not Parent Approved
a bad-ass clown,KinderPerfect: A Timeout For Parents (Kickstarter Set)
"A badass maroon beret that gets all the pussy. How much pussy, bro?!? ALL the pussy!",Disgruntled Decks: Army Edition
a bag full of cats,Evil Apples
a bag of coke,Skewered And Roasted
A Bag of Dicks,Personally Incorrect
a bag of dicks,Skewered And Roasted
A bag of dicks.,Cakes Athirst Hilarity Volume 1
A bag of doorknobs.,Crabs Adjust Humidity: Volume 5
A bag of doorknobs.,Crazy & Horrible Rabbit - Vol. 1
A bag of hammers.,Words Against Morality: Volume 2
A bag of magic beans.,CAH Base Set
A bag of magic beans.,Cards Against/For South Africa
A bag of pickled socks.,Crabs Adjust Humidity: Volume 5
A bag of pickled socks.,Crazy & Horrible Rabbit - Vol. 1
A bag of tainted shrimp,The Game Without Decency
A Bag Stuffed With Mystery Meat,Personally Incorrect - Expansion [Red Box]
a bait and switch,Skewered And Roasted
A balanced breakfast.,CAH Base Set
A balanced breakfast.,Cards Against/For South Africa
A balanced breakfast.,Hilarious!
A bald eagle named Small Government.,Cocks Abreast Hostility - Cock Pack Two: Fowls Deep
A balding sergeant first class with a terrible comb over.,Disgruntled Decks: Army Edition
A ball gag,The Game Without Decency
"A ball of earwax, semen, and toenail clippings.",CAH Base Set
A ball pit filled with elephant testicles.,Cards and Punishment Vol. Two
A ball pit filled with testicles.,Crabs Adjust Humidity: Volume 3
A ball-clinching Swiss seat.,Disgruntled Decks: Army Edition
A banana and two cherries.,Fun in the Oven
A banana hammock,The Game Without Decency
"A banana.  You know, for scale.",Crabs Adjust Humidity: Volume 3
A Band-Aid fetish,KinderPerfect: A Timeout For Parents (Kickstarter Set)
A Band-Aid obsession,KinderPerfect (Commercial Set)
a bank loan application,Skewered And Roasted
A banter tampon.,"Guards Against Insanity, Edition 5"
A bar full of guys wearing plaid.,Carps & Angsty Manatee - Volume 1
a barber's chair that fits all buttocks,Bards Dispense Profanity
a barf bucket,Skewered And Roasted
A barf smoothie,Kids Create Absurdity
A barracks bunny.,Charlie Foxtrot
A barracks room covered in layers of black mold.,Disgruntled Decks: Army Edition
A Barrel Full of Monkeys,Personally Incorrect
a barren sister,Bards Dispense Profanity
A baseball bat vasectomy.,Words Against Morality: Volume 1
A basement dweller.,Cats Abiding Horribly: Episode III - The SJWs Strike Back
A basic bitch.,Cats Abiding Horribly: Episode II - A New Low
A basic white girl.,Cards and Punishment Vol. Two
A basket of deplorables.,Clones Attack Hilarity #2
A basketball that screams every time it gets bounced.,Absurd Box Expansion
A bass drop so huge it tears the starry vault asunder to reveal the face of God.,CAH: Blue Box Expansion
A bass drop so huge it tears the starry vault asunder to reveal the face of God.,CAH: Sixth Expansion
A bathroom only for poop.,Desert Bus For Hope Pack
A bathtub full of cottage cheese,The Game Without Decency
A bathtub full of Jared from Subway's lost fat that he used as lube with underage girls. (I'm sorry.),The Worst Card Game: 2016 National Edition
A batshit racist butler.,Trumped UpCards: The World's Biggest Deck*
A battle to the death.,Carps & Angsty Manatee - Volume 2
A BBW woman wearing the Confederate Flag as a dress.,WTF Did You Say?!?
A beached whale.,CAH: First Expansion
A beached whale.,Cats Abiding Horribly: Episode III - The SJWs Strike Back
A bear.,Absurd Box Expansion
A beard longer than 12 inches.,Crabs Adjust Humidity: Volume 1
A beard of pubes glued to your face.,Carps & Angsty Manatee - Volume 1
A bearded clam.,Words Against Morality: Volume 4
A bearded lady.,The Game Without Decency
A bearskin rug,The Game Without Decency
"A beautiful, ever-expanding circle of inclusivity that will never include Republicans.",Vote For Hillary Pack
A beautifully enlarged prostate.,Trumped UpCards: The World's Biggest Deck*
A beautifully plagiarized Inauguration Cake.,Trumped UpCards: Alternative Facts Expansion Pack
A bed bug-infested rack.,Disgruntled Decks: Navy Edition
"a bed, a hammock, a hearse, a sentry box, a pulpit, a coach, or any other of those small and snug contrivances in which men temporarily isolate themselves",Dick
A beer bottle,Rotten Apples: The Tasteless Adult Party Game
a beer snob,Skewered And Roasted
A belly full of hard-boiled eggs.,Food Pack
A belly full of hard-boiled eggs.,PAX Prime 2015 Food Pack B (Coconut)
A Benedict Cumberbatch RealDoll™.,Crabs Adjust Humidity: Volume 3
A benevolent robot babysitter,Cads About Maternity - A game for bad mommies
A Bengay handjob.,Words Against Morality: Volume 1
A Benghazi-themed costume party.,Disgruntled Decks: Marine Corps/Jarhead Edition
A bent coat hanger,The Game Without Decency
A bi-sexual woman learning blowjob technique from a gay man.,Carbs of the Huge Manatee - Kink Expansion 1
A big black dick strapped to a frail white body.,Pride Pack
A big black dick.,CAH Base Set
A big black dick.,CAH: First Expansion
A big black dick.,CAH: Red Box Expansion
A big black dildo.,"Guards Against Insanity, Edition 1"
A Big Bottle of Lube,Personally Incorrect
A big brain full of facts and sadness.,Jew Pack/Chosen People Pack
a big bush,Skewered And Roasted
A big empty plane with no seats and a bucket to shit in.,Disgruntled Decks: Air Force Edition
A big fat OPSEC fail.,Disgruntled Decks: Air Force Edition
a big fat shit,Skewered And Roasted
A big glass of wine.,Babies vs. Parents
A big hole.,Absurd Box Expansion
A big hoopla about nothing.,CAH Base Set
A big hoopla about nothing.,Hilarious!
A big hot fire that's burning everybody.,Absurd Box Expansion
A big night in Greymouth with Hopeful Christian,Kiwis Versus Morality
A big ol’ plate of fettuccini alfredo.,CAH: Green Box Expansion
A big one on the turps,Kiwis Against Morality
A big one on the turps,Kiwis Versus Morality
A big-ass knife,The Game Without Decency
"A big, beautiful mouth packed to the brim with sparkling white teeth.",CAH: Green Box Expansion
"A big, big, big, and I mean BIG big.",Absurd Box Expansion
"A big, fat, hairy, homosexual man.","Crows Adopt Vulgarity, Vol. 4"
"A big, red wet-looking zit on your nose.",Not Parent Approved
"A big, sloppy blowjob from a mean, tired cowboy.",Absurd Box Expansion
A bigger bang for your buck.,"Guards Against Insanity, Edition 3"
"A bigger, blacker dick.",CAH : Second Expansion
"A bigger, blacker dick.",CAH: Red Box Expansion
"A bigger, blacker knitting bag.",Knitters Against Swatches First Edition
A billion different uniforms and accessories.,Disgruntled Decks: Navy Edition
A bingo hall brawl.,Carps & Angsty Manatee - Texas Edition
A bird that dies.,Absurd Box Expansion
A bird that shits human turds.,CAH Base Set
a bird's nest in its crotch,Dick
A birther lawsuit., 2016 Election Game 
A bit o' the ol' slap and tickle.,Crabs Adjust Humidity: Volume 2
A bit of a dag,Kiwis Against Morality
A bit of a dag,Kiwis Versus Morality
A bit of slap and tickle.,CAH Base Set
A bit of slap and tickle.,CAH: UK Conversion Kit
a bitch slap,Skewered And Roasted
A bitch slap.,CAH Base Set
A Bitch Slap.,"PAX 2010 ""Oops"" Kit"
"A bitch-slap for that bitch, Susan","Clams Attempt Harmonica, Volume 1"
A bitchin' Camaro.,Crabs Adjust Humidity: Volume 2
A Bitchplosion,Personally Incorrect - Expansion 2 [Yellow Box]
"A bitchy, stuck-up officer's wife.",Charlie Foxtrot
A bizarre love octagon.,Cads About Matrimony
A bizarre love octagon.,Cads About Matrimony Poly Pack
A bizarre partnership with Cards Against Humanity.,Jack White Show Pack
A black fly in your chardonnay.,Crabs Adjust Humidity: Volume 3
A black friend.,CAH: Green Box Expansion
A black guy in a white neighborhood.,"Crows Adopt Vulgarity, Vol. 2"
A black hole,Rotten Apples: The Tasteless Adult Party Game
A Black Lives Matter protestor.,Cats Abiding Horribly: Episode III - The SJWs Strike Back
"A black male in his early 20s, last seen wearing a hoodie.",CAH : Third Expansion
A black man in a cowboy hat.,Humanity Hates Trump: Base Set
A black-owned and operated business.,CAH: Red Box Expansion
"A black, mushy banana",The Game Without Decency
"a black!
and crazy!",Dick
A blanket with a hole in it.,Crabs Adjust Humidity: Volume 2
a blatant act of kindness,Skewered And Roasted
A bleached arsehole.,CAH Base Set
A bleached asshole.,CAH Base Set
A bleached asshole.,Cards Against/For South Africa
A bleached asshole.,Hilarious!
A bleeding asshole.,"Guards Against Insanity, Edition 3"
A blimp advertising hair regrowth,Cards Against Profanity
A blind kid throwing hand grenades.,WTF Did You Say?!?
A blind lip reader,Rotten Apples: The Tasteless Adult Party Game
"A blind, quadriplegic AIDS survivor with face cancer and diarrhea.",Hidden Compartment Pack
A blinged out consecration bracelet.,The Catholic Card Game: Base Deck
A bloated corpse with a great tan.,Disgruntled Decks: Army Edition
A block of cheese wearing sunglasses.,Not Parent Approved Expansion Pack #1
A block of government cheese,The Game Without Decency
"A blood transfusion from a teen with at least 10,000 Instagram followers.",Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack
A blood-soaked onesie,The Game Without Decency
A bloodthirsty Arab.,Cats Abiding Horribly: Episode II - A New Low
a bloody battle in Affghanistan,Dick
A bloody creature popping through your sternum Alien style,Cads About Maternity - A game for bad mommies
A bloody heap of Trump steaks.,Humanity Hates Trump: Base Set
A bloody pacifier.,CAH: First Expansion
A bloody pacifier.,CAH: Red Box Expansion
"A blow job from Shark Girl, with teeth.",Blurbs Against Buffalo
A blow job whilst driving,Depravity
"A blow-up sex doll that really likes you, but just wants to be friends.",Words Against Morality: Volume 2
a blowjob so powerful that you black out from low oxygen in your brain,Evil Apples
A blue powerade for the morning after,Kiwis Against Morality
A blue powerade for the morning after,Kiwis Versus Morality
A blue waffle.,Crabs Adjust Humidity: Volume 6
a blumpkin,Evil Apples
A blumpkin.,Cards and Punishment Vol. Two
A Boatswain's punch.,Disgruntled Decks: Navy Edition
a bobble head,Skewered And Roasted
"a boil,
a plague-sore,
an embossed carbuncle",Bards Dispense Profanity
A bold red lip.,Absurd Box Expansion
